frame,timestamp_seconds,status,method,matched_points,inlier_count,inlier_ratio,reason,camera_dx_pixels,camera_dy_pixels,camera_translation_pixels,camera_rotation_deg,camera_scale,H00,H01,H02,H10,H11,H12
0,0.0,REFERENCE,REFERENCE,0,0,1.0,REFERENCE,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0.04113195129976966,TRACKED,LK_OPTICAL_FLOW,368,368,1.0,LK_ACCEPTED,0.002970170048001819,-0.0039652524127973265,0.0049543048766948275,0.0008343830421435787,1.0000065104951728,1.0000065103891356,-1.4562826118289208e-05,0.005793677538002455,1.4562826118289208e-05,1.0000065103891356,-0.01641044791351374
2,0.08226390259953932,TRACKED,LK_OPTICAL_FLOW,344,344,1.0,LK_ACCEPTED,0.008371738047117105,-0.0036569897030176435,0.009135621030752382,0.0016912785825711281,1.0000057326660563,1.0000057322303864,-2.9518549049056323e-05,0.018872014143373687,2.9518549049056323e-05,1.0000057322303864,-0.02530033167987155
3,0.12339585389930897,TRACKED,LK_OPTICAL_FLOW,343,343,1.0,LK_ACCEPTED,0.008666638129398052,-0.00397543390164401,0.00953491956821224,0.001522837068153416,1.0000050614092044,1.0000050610559938,-2.6578655332334997e-05,0.01818531685288577,2.6578655332334997e-05,1.0000050610559936,-0.023415080191283372
4,0.16452780519907864,TRACKED,LK_OPTICAL_FLOW,346,346,1.0,LK_ACCEPTED,0.00911335245484679,-0.0059906268543272745,0.010905998490466112,0.002064468145344723,1.0000014789921055,1.0000014783429603,-3.603181972170775e-05,0.0254624864266854,3.603181972170775e-05,1.00000147834296,-0.02976059609704525
5,0.2056597564988483,TRACKED,LK_OPTICAL_FLOW,347,347,1.0,LK_ACCEPTED,0.006830451868609089,-0.0045813178494995555,0.008224569652421252,0.00168430220949011,1.0000067343945678,1.0000067339624843,-2.939681711841612e-05,0.016631188095459645,2.9396817118416117e-05,1.000006733962484,-0.02662758279763004
6,0.24679170779861795,TRACKED,LK_OPTICAL_FLOW,346,346,1.0,LK_ACCEPTED,0.005869122796070769,-0.004515888850278316,0.007405393608946494,0.0016748737610758613,1.0000069388385218,1.000006938411262,-2.9232264518427098e-05,0.015460026557196655,2.923226451842709e-05,1.0000069384112618,-0.02655497554768234
7,0.28792365909838763,TRACKED,LK_OPTICAL_FLOW,347,336,0.968299711815562,LK_ACCEPTED,0.04952299388423853,0.0038264874291371598,0.04967060427761748,0.008738452794674272,1.000038419435729,1.0000384078049043,-0.00015252063173738634,0.098151901979432,0.0001525206317373864,1.000038407804904,-0.11222246323669421
8,0.3290556103981573,TRACKED,LK_OPTICAL_FLOW,337,337,1.0,LK_ACCEPTED,0.051979416007725376,0.0021153792926043025,0.05202244244608048,0.009025128210474676,1.0000309417561772,1.0000309293498013,-0.00015752307592581784,0.10779570857929922,0.0001575230759258179,1.000030929349801,-0.11354547720441963
9,0.37018756169792694,TRACKED,LK_OPTICAL_FLOW,339,339,1.0,LK_ACCEPTED,0.05082990726816661,0.002612729965392191,0.05089701200230201,0.008395171592770973,1.000028349188134,1.0000283384532787,-0.00014652753885847098,0.1030265158218031,0.000146527538858471,1.0000283384532784,-0.10476735247768569
10,0.4113195129976966,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,0.050562656775468895,0.0037478779424304776,0.05070136930365123,0.008435951644587509,1.0000264112859538,1.0000264004465755,-0.00014723901987427013,0.10434110050673885,0.00014723901987427016,1.000026400446575,-0.10315730913309466
11,0.45245146429746624,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,0.05024761008621681,0.0040218317867015685,0.050408307354016565,0.008343720212602782,1.0000268362972262,1.0000268256935647,-0.0001456292971066373,0.10298122881597437,0.00014562929710663735,1.0000268256935645,-0.10205725127247418
12,0.4935834155972359,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,0.05109388240634871,0.001008549707705697,0.0511038353929204,0.008468303298491226,1.000027270210175,1.0000272592874904,-0.00014780380460896215,0.10459376462487734,0.0001478038046089622,1.0000272592874901,-0.10667034323728794
13,0.5347153668970056,TRACKED,LK_OPTICAL_FLOW,325,325,1.0,LK_ACCEPTED,0.0518835110224245,-0.000853938889690653,0.05189053793941021,0.008713329681391888,1.0000256208928844,1.0000256093289888,-0.00015208018749622,0.10849203046784923,0.00015208018749622004,1.0000256093289885,-0.11047773680177289
14,0.5758473181967753,TRACKED,LK_OPTICAL_FLOW,327,327,1.0,LK_ACCEPTED,0.052593067629914,-0.00021462064540855863,0.05259350553771962,0.008570559174657766,1.000025164343751,1.0000251531557118,-0.00014958823997211567,0.10829740316095303,0.00014958823997211575,1.0000251531557116,-0.10802460896917843
15,0.6169792694965449,TRACKED,LK_OPTICAL_FLOW,328,328,1.0,LK_ACCEPTED,0.051468100499505454,0.0003118655288858463,0.05146904534897943,0.008330521310417092,1.0000334306731127,1.0000334201029026,-0.0001453998854156076,0.09987117964136798,0.0001453998854156077,1.0000334201029024,-0.1087857105302994
16,0.6581112207963146,TRACKED,LK_OPTICAL_FLOW,328,328,1.0,LK_ACCEPTED,0.051308740818626575,0.0012081483018846484,0.05132296276241604,0.007938481853736004,1.0000362244579075,1.000036214859142,-0.00013855766450869612,0.09463890993198663,0.0001385576645086962,1.0000362148591417,-0.1048518893717105
17,0.6992431720960842,TRACKED,LK_OPTICAL_FLOW,326,326,1.0,LK_ACCEPTED,0.049292031424897687,0.0020240899305008497,0.049333571754332325,0.007515888344400292,1.0000376367205768,1.0000376281165506,-0.00013118193451784686,0.08817736540110858,0.00013118193451784697,1.0000376281165504,-0.09999384410515398
18,0.7403751233958539,TRACKED,LK_OPTICAL_FLOW,327,327,1.0,LK_ACCEPTED,0.05072426602987434,0.000357964043132597,0.05072552910049968,0.007621431940515352,1.0000503029572567,1.0000502941097738,-0.0001330257719395085,0.08238840630562924,0.00013302577193950865,1.0000502941097738,-0.10891970268961268
19,0.7815070746956235,TRACKED,LK_OPTICAL_FLOW,329,326,0.9908814589665653,LK_ACCEPTED,0.05051118263918397,-0.0016208854841011089,0.05053718276043462,0.007818373018359505,1.000051206783592,1.0000511974729474,-0.0001364633383868132,0.08324720237846334,0.00013646333838681333,1.0000511974729474,-0.11353220906636707
20,0.8226390259953932,TRACKED,LK_OPTICAL_FLOW,325,325,1.0,LK_ACCEPTED,0.054452884859301776,-0.0033015741267377052,0.05455288316133915,0.00840712516328225,1.0000402073749928,1.000040196609418,-0.00014673791390912907,0.09916125350825801,0.0001467379139091292,1.000040196609418,-0.11650821154914218
21,0.8637709772951628,TRACKED,LK_OPTICAL_FLOW,325,324,0.9969230769230769,LK_ACCEPTED,0.052054157893735464,-0.0023351182115902702,0.05210650756947775,0.00799413106988757,1.000045560532312,1.000045550798408,-0.00013953026433632972,0.08987617379398596,0.00013953026433632988,1.0000455507984083,-0.1134988706228083
22,0.9049029285949325,TRACKED,LK_OPTICAL_FLOW,328,326,0.9939024390243902,LK_ACCEPTED,0.051139061114099604,-0.0024989685686591656,0.051200082182929756,0.007869962567016548,1.0000492709811275,1.0000492615472232,-0.0001373635260734774,0.08554616340650642,0.00013736352607347755,1.0000492615472232,-0.11405716792280533
23,0.9460348798947021,TRACKED,LK_OPTICAL_FLOW,329,329,1.0,LK_ACCEPTED,0.05207297500828645,-0.0027398147497592618,0.0521450027430877,0.007891933486893963,1.0000465352043115,1.0000465257176854,-0.00013774663302858445,0.0884148995434217,0.0001377466330285846,1.0000465257176854,-0.11323000437703941
24,0.9871668311944718,TRACKED,LK_OPTICAL_FLOW,327,326,0.9969418960244648,LK_ACCEPTED,0.054374057880409055,-0.0015540099133772856,0.05439626013976465,0.008277465578613587,1.00003799221777,1.0000379817817235,-0.00014447451626351798,0.09941348538384374,0.00014447451626351814,1.0000379817817235,-0.11224895554933474
25,1.0282987824942416,TRACKED,LK_OPTICAL_FLOW,333,333,1.0,LK_ACCEPTED,0.0552830306588703,-0.002247623144796762,0.05532870221350416,0.008224929115232602,1.0000353438030596,1.0000353334990937,-0.00014355716698783306,0.10157703139309165,0.00014355716698783322,1.0000353334990935,-0.11108428958186027
26,1.0694307337940112,TRACKED,LK_OPTICAL_FLOW,334,334,1.0,LK_ACCEPTED,0.05526513947938838,-0.0016965556750960786,0.05529117418571388,0.008238336976464082,1.0000356461666382,1.0000356358290476,-0.00014379123005608903,0.10147799931591849,0.0001437912300560892,1.0000356358290474,-0.1108281408537711
