frame,timestamp_seconds,status,method,matched_points,inlier_count,inlier_ratio,reason,camera_dx_pixels,camera_dy_pixels,camera_translation_pixels,camera_rotation_deg,camera_scale,H00,H01,H02,H10,H11,H12
0,0.0,REFERENCE,REFERENCE,0,0,1.0,REFERENCE,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0.04051863857374392,TRACKED,LK_OPTICAL_FLOW,372,372,1.0,LK_ACCEPTED,-0.002274389857348069,-0.0026125392132030356,0.003463843293760748,0.00023674347946844605,1.0000089746485974,1.0000089746400607,-4.131990282168205e-06,-0.0060348041608217105,4.131990282168205e-06,1.0000089746400607,-0.009564840222927482
2,0.08103727714748785,TRACKED,LK_OPTICAL_FLOW,346,346,1.0,LK_ACCEPTED,-0.003577602641030353,-0.005736958042973583,0.006761059698297793,0.00015013554350153216,1.000017442958904,1.0000174429554707,-2.620405265194004e-06,-0.013483299615013872,2.620405265194004e-06,1.0000174429554707,-0.015786636038609716
3,0.12155591572123177,TRACKED,LK_OPTICAL_FLOW,338,338,1.0,LK_ACCEPTED,-0.0017893314928869586,-0.006268399568114091,0.006518783654714275,0.0002939014046431934,1.0000180937950471,1.0000180937818908,-5.129640000212871e-06,-0.010907124702859552,5.1296400002128715e-06,1.0000180937818908,-0.018236384475831962
4,0.1620745542949757,TRACKED,LK_OPTICAL_FLOW,342,342,1.0,LK_ACCEPTED,-0.0022475406882449533,-0.006659014723709333,0.007028080551323689,0.00040666168425752846,1.0000189305080913,1.000018930482903,-7.097719692836428e-06,-0.010956144293526334,7.097719692836428e-06,1.000018930482903,-0.02028818712064462
5,0.2025931928687196,TRACKED,LK_OPTICAL_FLOW,342,342,1.0,LK_ACCEPTED,-0.002573698726450857,-0.0061621741405133434,0.006678047264923042,0.00040243812003804626,1.0000181707695082,1.0000181707448403,-7.0239978592693285e-06,-0.010831456451825735,7.0239978592693285e-06,1.0000181707448403,-0.019379490293787403
6,0.24311183144246354,TRACKED,LK_OPTICAL_FLOW,342,342,1.0,LK_ACCEPTED,-0.0024412976423491273,-0.006596000514946354,0.007033289200062228,0.00039521724045801776,1.000019527148392,1.0000195271246015,-6.897976801770253e-06,-0.011627628522384182,6.897976801770253e-06,1.0000195271246013,-0.02038372547666869
7,0.28363047001620745,TRACKED,LK_OPTICAL_FLOW,344,344,1.0,LK_ACCEPTED,-0.0019724155299627455,-0.006027287216852528,0.006341814741639188,0.0004333978643943106,1.000018500632848,1.0000185006042386,-7.564359647572022e-06,-0.010181909611840248,7.564359647572022e-06,1.0000185006042384,-0.019748767425731253
8,0.3241491085899514,TRACKED,LK_OPTICAL_FLOW,344,344,1.0,LK_ACCEPTED,-0.0023813379538069057,-0.0065658731396069925,0.006984372594274581,0.0004100714021977466,1.000019416412273,1.0000194163866607,-7.157235101688753e-06,-0.011372352567870038,7.157235101688753e-06,1.0000194163866605,-0.020466369201714754
9,0.3646677471636953,TRACKED,LK_OPTICAL_FLOW,344,344,1.0,LK_ACCEPTED,-0.002244928032610005,-0.006210760431315521,0.006604032632172011,0.00042651604230741993,1.0000190593456078,1.0000190593179,-7.4442511306221105e-06,-0.010869650945890964,7.4442511306221105e-06,1.0000190593178997,-0.020123553746787384
10,0.4051863857374392,TRACKED,LK_OPTICAL_FLOW,344,344,1.0,LK_ACCEPTED,-0.00234719495108493,-0.006523558945104924,0.006932975223427317,0.00036944363694579917,1.0000192271752388,1.0000192271544501,-6.4481318421792485e-06,-0.011557470514918256,6.448131842179248e-06,1.0000192271544501,-0.01987939746016648
11,0.44570502431118314,TRACKED,LK_OPTICAL_FLOW,344,344,1.0,LK_ACCEPTED,-0.002214590884022982,-0.006216741584921692,0.0065994157860595785,0.00041582546211621865,1.0000192591349129,1.0000192591085766,-7.2576632011140765e-06,-0.011056742036579288,7.257663201114076e-06,1.0000192591085766,-0.020106018150412745
12,0.4862236628849271,TRACKED,LK_OPTICAL_FLOW,344,344,1.0,LK_ACCEPTED,-0.0024393493316665626,-0.00872110047902197,0.009055827887449018,0.00016934739136777023,1.000020167592174,1.000020167587806,-2.9557291677649795e-06,-0.013927855526953152,2.9557291677649783e-06,1.000020167587806,-0.020293209293223063
13,0.526742301458671,TRACKED,LK_OPTICAL_FLOW,336,336,1.0,LK_ACCEPTED,-0.0016838895975297419,-0.010150071503971958,0.01028880147113416,0.0005896454475370162,1.0000240030594103,1.000024003006454,-1.0291501500327424e-05,-0.012105893008020228,1.0291501500327423e-05,1.0000240030064538,-0.028258075561994507
14,0.5672609400324149,TRACKED,LK_OPTICAL_FLOW,336,336,1.0,LK_ACCEPTED,-0.00236668872764767,-0.008573388060938214,0.008894054102433404,0.0001640124530861317,1.0000196914891517,1.0000196914850545,-2.8626136886382525e-06,-0.013595184592001432,2.862613688638249e-06,1.0000196914850543,-0.01985737364774762
15,0.6077795786061588,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.002314493650374061,-0.00846926811055937,0.008779828197986547,0.00016449178210906212,1.0000197943921059,1.0000197943879847,-2.87098001845163e-06,-0.013604831551769038,2.8709800184516264e-06,1.0000197943879845,-0.01980800155492206
16,0.6482982171799028,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.002520091671044611,-0.008643626376510838,0.009003507037104059,0.00018286338227091492,1.0000201990754318,1.0000201990703386,-3.191632568679913e-06,-0.013915513054668854,3.191632568679909e-06,1.0000201990703383,-0.02038182498289854
17,0.6888168557536467,TRACKED,LK_OPTICAL_FLOW,336,336,1.0,LK_ACCEPTED,-0.002561124558155825,-0.008593252692151054,0.00896679155738273,0.00019082274784086562,1.0000201316131263,1.00002013160758,-3.3305522855601767e-06,-0.013846688312402168,3.330552285560173e-06,1.0000201316075799,-0.020387977793254054
18,0.7293354943273906,TRACKED,LK_OPTICAL_FLOW,336,336,1.0,LK_ACCEPTED,-0.0024413458497747342,-0.00860306472134198,0.008942756407160562,0.0001974972350743299,1.000020126482796,1.0000201264768551,-3.447046391149066e-06,-0.013667708769253375,3.447046391149062e-06,1.000020126476855,-0.020469883302060614
19,0.7698541329011346,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.0024295062535202305,-0.008582154952875953,0.008919410533833902,0.00019757117238931448,1.000020065054706,1.0000200650487607,-3.4483366548873507e-06,-0.013615935866077119,3.448336654887347e-06,1.0000200650487605,-0.020420313817045094
20,0.8103727714748784,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.0024179567944884184,-0.008545344942717747,0.008880846539043702,0.00020083028764745434,1.0000200858432544,1.0000200858371113,-3.5052201610568076e-06,-0.013590386868481534,3.505220161056804e-06,1.0000200858371109,-0.02042988765900577
21,0.8508914100486223,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.0024073315370287673,-0.008504419507573857,0.008838574335829057,0.00021187083307796438,1.0000200846284244,1.0000200846215872,-3.697917895960569e-06,-0.013486488762717994,3.697917895960565e-06,1.0000200846215868,-0.020511705322651556
22,0.8914100486223663,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.002434582776345451,-0.008486782321654118,0.0088290807828459,0.00020763418302627434,1.0000202550299582,1.0000202550233916,-3.623973535694852e-06,-0.013658290449865874,3.623973535694848e-06,1.0000202550233912,-0.02052853661221686
23,0.9319286871961102,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.002340835279028397,-0.008678534849480002,0.008988686051764342,0.00023273607991882968,1.0000200870298845,1.0000200870216345,-4.062092476491061e-06,-0.013246724736454689,4.062092476491058e-06,1.0000200870216338,-0.020920044418705104
24,0.9724473257698542,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.0022945797196598505,-0.009066492005388227,0.009352345875428417,0.00016786951041587164,1.0000200733143487,1.0000200733100566,-2.9299344827790243e-06,-0.013735129604112911,2.92993448277902e-06,1.0000200733100562,-0.02057683890130304
25,1.012965964343598,TRACKED,LK_OPTICAL_FLOW,334,334,1.0,LK_ACCEPTED,-0.0013389316097800474,-0.011653874104808892,0.011730537903540632,0.0006832546908883327,1.0000263381725034,1.0000263381013983,-1.1925358069280467e-05,-0.012471144631369932,1.1925358069280467e-05,1.0000263381013976,-0.0319283919400339
26,1.053484602917342,TRACKED,LK_OPTICAL_FLOW,334,334,1.0,LK_ACCEPTED,-0.002077756437984135,-0.010063669668454622,0.01027591937547965,0.00025535640417651814,1.0000220621431313,1.0000220621331994,-4.456908345699438e-06,-0.014058205679715094,4.456908345699433e-06,1.0000220621331988,-0.023505914945049552
27,1.0940032414910859,TRACKED,LK_OPTICAL_FLOW,333,333,1.0,LK_ACCEPTED,-0.0021737078101295992,-0.009920204578804714,0.01015556323052328,0.0002397380969674037,1.000021993370878,1.000021993362124,-4.184311159617684e-06,-0.014240990212763979,4.184311159617679e-06,1.0000219933621233,-0.023154977540127804
28,1.1345218800648298,TRACKED,LK_OPTICAL_FLOW,334,334,1.0,LK_ACCEPTED,-0.003004098845167391,-0.011112571409569227,0.011511466162236306,0.000365782153420377,1.000024887981146,1.0000248879607672,-6.384261809610416e-06,-0.015867948067605032,6.384261809610412e-06,1.0000248879607665,-0.027144720135632926
29,1.1750405186385737,TRACKED,LK_OPTICAL_FLOW,332,332,1.0,LK_ACCEPTED,-0.003084245167883637,-0.010999877738811392,0.0114240920218813,0.00034220466441045735,1.000024639349664,1.0000246393318275,-5.972745270542461e-06,-0.01598649980754417,5.9727452705424565e-06,1.0000246393318268,-0.02664931398883921
30,1.2155591572123177,TRACKED,LK_OPTICAL_FLOW,332,332,1.0,LK_ACCEPTED,-0.0029131132710062957,-0.011098196972795904,0.01147415378041837,0.00037001420786313946,1.0000249542864144,1.0000249542655613,-6.458127360263958e-06,-0.015783942097297058,6.458127360263954e-06,1.0000249542655606,-0.0272094459524473
31,1.2560777957860616,TRACKED,LK_OPTICAL_FLOW,334,334,1.0,LK_ACCEPTED,-0.002970003178575098,-0.010937200007276715,0.011333281205366783,0.0003517274866555986,1.0000248279283517,1.0000248279095088,-6.138955125619957e-06,-0.015913166803872645,6.1389551256199525e-06,1.000024827909508,-0.02678352785153417
32,1.2965964343598055,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.002841209583039017,-0.010879102886576675,0.011243991796131553,0.00035016896570503215,1.0000254649411526,1.0000254649224762,-6.111757021387615e-06,-0.016205116597533552,6.11175702138761e-06,1.0000254649224756,-0.027013790168479743
