frame,timestamp_seconds,status,method,matched_points,inlier_count,inlier_ratio,reason,camera_dx_pixels,camera_dy_pixels,camera_translation_pixels,camera_rotation_deg,camera_scale,H00,H01,H02,H10,H11,H12
0,0.0,REFERENCE,REFERENCE,0,0,1.0,REFERENCE,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0.04051863857374392,TRACKED,LK_OPTICAL_FLOW,284,284,1.0,LK_ACCEPTED,-0.0024403009017532895,-0.004011817921139027,0.00469571629503638,0.00017854373586585913,1.0000138220550334,1.000013822050178,-3.1162191216221395e-06,-0.009790627837270641,3.1162191216221395e-06,1.000013822050178,-0.012640782244370301
2,0.08103727714748785,TRACKED,LK_OPTICAL_FLOW,271,271,1.0,LK_ACCEPTED,-0.0047054217379809415,-0.009104016963306094,0.010248127565581367,0.00012147992615166895,1.0000270262779538,1.000027026275706,-2.120281988206299e-06,-0.02098450283549181,2.120281988206299e-06,1.000027026275706,-0.023433609774661975
3,0.12155591572123177,TRACKED,LK_OPTICAL_FLOW,263,263,1.0,LK_ACCEPTED,-0.0029224935814227138,-0.008766681571273693,0.009240978005902121,0.00027240549433361124,1.0000260307140452,1.0000260307027429,-4.754496536344574e-06,-0.017299984999417158,4.754496536344574e-06,1.0000260307027429,-0.024304296671131088
4,0.1620745542949757,TRACKED,LK_OPTICAL_FLOW,266,266,1.0,LK_ACCEPTED,-0.0033421561216755435,-0.010313519498993173,0.010841526276210638,0.00039102188338989836,1.00002896508457,1.0000289650612817,-6.82481698812562e-06,-0.018603883187719675,6.82481698812562e-06,1.0000289650612817,-0.02858463178661413
5,0.2025931928687196,TRACKED,LK_OPTICAL_FLOW,265,265,1.0,LK_ACCEPTED,-0.0037945868700717256,-0.009588708205910734,0.010312236157721592,0.0003540830770862791,1.0000273920303684,1.000027392011272,-6.18008480114274e-06,-0.018359033379584354,6.18008480114274e-06,1.0000273920112719,-0.026692127889125186
6,0.24311183144246354,TRACKED,LK_OPTICAL_FLOW,264,264,1.0,LK_ACCEPTED,-0.0035829465091410384,-0.01001983321731359,0.010641173026980942,0.0004117037387531089,1.0000291371435244,1.0000291371177075,-7.185795151394784e-06,-0.018781520169262694,7.185795151394784e-06,1.000029137117707,-0.028604558613569454
7,0.28363047001620745,TRACKED,LK_OPTICAL_FLOW,267,267,1.0,LK_ACCEPTED,-0.0031053439741981492,-0.009621698467867645,0.010110402692507126,0.00038149016445340517,1.0000279726049857,1.0000279725828187,-6.658445682498387e-06,-0.01781174305066126,6.6584456824983865e-06,1.0000279725828185,-0.027309943457530125
8,0.3241491085899514,TRACKED,LK_OPTICAL_FLOW,267,267,1.0,LK_ACCEPTED,-0.003549663781200252,-0.010014230976935323,0.010624732232813017,0.0004145065051954254,1.0000290613891305,1.0000290613629608,-7.234713531247226e-06,-0.01867627358114323,7.234713531247225e-06,1.0000290613629605,-0.02859390185800682
9,0.3646677471636953,TRACKED,LK_OPTICAL_FLOW,267,267,1.0,LK_ACCEPTED,-0.0034694521547180557,-0.009762155124519722,0.010360346081529538,0.0003876259953574248,1.0000287152349656,1.0000287152120801,-6.76554415386729e-06,-0.018599726692184654,6.765544153867289e-06,1.00002871521208,-0.027875405181378456
10,0.4051863857374392,TRACKED,LK_OPTICAL_FLOW,267,267,1.0,LK_ACCEPTED,-0.0034820628429770295,-0.009820278324980336,0.01041933913559396,0.00038983047547027413,1.0000286880896612,1.0000286880665143,-6.804020510269642e-06,-0.018576495567206124,6.8040205102696416e-06,1.0000286880665141,-0.027945123378317168
11,0.44570502431118314,TRACKED,LK_OPTICAL_FLOW,267,267,1.0,LK_ACCEPTED,-0.003418093011759993,-0.009751461992607346,0.010333168479721414,0.0003877588056198579,1.0000289491126435,1.000028949089742,-6.76786377959481e-06,-0.018696935832518125,6.7678637795948094e-06,1.0000289490897418,-0.027978457887613904
12,0.4862236628849271,TRACKED,LK_OPTICAL_FLOW,267,267,1.0,LK_ACCEPTED,-0.004143274341913639,-0.009810744263688775,0.010649761747563281,5.308894889916271e-05,1.0000232829353402,1.000023282934911,-9.265985281446022e-07,-0.018599585391322268,9.265985281446002e-07,1.0000232829349107,-0.021579576078787195
13,0.526742301458671,TRACKED,LK_OPTICAL_FLOW,257,257,1.0,LK_ACCEPTED,-0.0027199853320780676,-0.01229191189725043,0.01258925805186654,0.0006200799223392064,1.0000285002177463,1.000028500159182,-1.0822744711908869e-05,-0.01576516974677553,1.0822744711908869e-05,1.0000285001591818,-0.03289854492009739
14,0.5672609400324149,TRACKED,LK_OPTICAL_FLOW,256,256,1.0,LK_ACCEPTED,-0.0040388925815477705,-0.009563711049565882,0.010381580916453435,4.4795121451171515e-05,1.0000226616086367,1.000022661608331,-7.818400755059095e-07,-0.01816703867707342,7.818400755059073e-07,1.0000226616083308,-0.020941660696689797
15,0.6077795786061588,TRACKED,LK_OPTICAL_FLOW,256,256,1.0,LK_ACCEPTED,-0.004003305155720227,-0.009535491636199822,0.010341762563211985,5.034589089881655e-05,1.0000228748066673,1.0000228748062814,-8.787216611624123e-07,-0.01822139477845082,8.787216611624102e-07,1.0000228748062812,-0.021077780514307566
16,0.6482982171799028,TRACKED,LK_OPTICAL_FLOW,257,257,1.0,LK_ACCEPTED,-0.004245833782306363,-0.009836986357356636,0.010714168427917985,7.547690543215592e-05,1.000023585057407,1.0000235850565393,-1.317351578086964e-06,-0.018707941210001258,1.3173515780869619e-06,1.000023585056539,-0.0220009185060992
17,0.6888168557536467,TRACKED,LK_OPTICAL_FLOW,258,258,1.0,LK_ACCEPTED,-0.004284048643626193,-0.009785443135058358,0.01068213322002755,8.47583164338808e-05,1.0000235329020135,1.0000235329009193,-1.4793465027149546e-06,-0.01863501891070378,1.4793465027149524e-06,1.000023532900919,-0.02202801733793931
18,0.7293354943273906,TRACKED,LK_OPTICAL_FLOW,258,258,1.0,LK_ACCEPTED,-0.004132778596385833,-0.009862979614013057,0.010693840553944218,9.05870846901705e-05,1.0000236191906422,1.0000236191893923,-1.5810802305791423e-06,-0.018490141296717652,1.5810802305791402e-06,1.000023619189392,-0.022212081869798873
19,0.7698541329011346,TRACKED,LK_OPTICAL_FLOW,257,257,1.0,LK_ACCEPTED,-0.004138473864372827,-0.009871173024976088,0.010703598591834082,9.189536496519915e-05,1.0000236393472424,1.000023639345956,-1.6039146005617972e-06,-0.018497776267940753,1.603914600561795e-06,1.0000236393459558,-0.02224456442815321
20,0.8103727714748784,TRACKED,LK_OPTICAL_FLOW,257,257,1.0,LK_ACCEPTED,-0.004150993842131356,-0.009748731475895056,0.010595683803630582,8.721626922082624e-05,1.0000235198099034,1.0000235198087448,-1.522246861323367e-06,-0.018472992945374484,1.5222468613233648e-06,1.0000235198087446,-0.022012477664564174
21,0.8508914100486223,TRACKED,LK_OPTICAL_FLOW,257,257,1.0,LK_ACCEPTED,-0.00415602762313938,-0.009698526516388029,0.010551491941587183,9.448131248930901e-05,1.0000233789716757,1.000023378970316,-1.6490485367010581e-06,-0.01832702532766728,1.649048536701056e-06,1.0000233789703157,-0.021975823331420518
22,0.8914100486223663,TRACKED,LK_OPTICAL_FLOW,257,257,1.0,LK_ACCEPTED,-0.004188986201256739,-0.009642643123413563,0.010513237931286168,8.747925508658286e-05,1.000023509123526,1.0000235091223606,-1.5268369222062549e-06,-0.01850194278937798,1.5268369222062528e-06,1.0000235091223604,-0.02190419748662995
23,0.9319286871961102,TRACKED,LK_OPTICAL_FLOW,257,257,1.0,LK_ACCEPTED,-0.004029935467428913,-0.00987829394154005,0.010668695846592888,0.00012108211807701806,1.0000233268698713,1.0000233268676382,-2.113330921976424e-06,-0.017944731913332956,2.113330921976422e-06,1.000023326867638,-0.022427722197863022
24,0.9724473257698542,TRACKED,LK_OPTICAL_FLOW,257,257,1.0,LK_ACCEPTED,-0.003917634099707357,-0.010116019499321283,0.010848119996102471,5.463816676555486e-05,1.0000229605876991,1.0000229605872444,-9.536378028942022e-07,-0.018154663790744548,9.536378028941995e-07,1.0000229605872442,-0.021747429570318163
25,1.012965964343598,TRACKED,LK_OPTICAL_FLOW,257,257,1.0,LK_ACCEPTED,-0.0029207332935357044,-0.01205412096692271,0.012402923657637082,0.0005953688387194699,1.0000272904829508,1.0000272904289613,-1.0391430078649229e-05,-0.015398721391079269,1.0391430078649227e-05,1.0000272904289613,-0.031804042118690055
26,1.053484602917342,TRACKED,LK_OPTICAL_FLOW,258,258,1.0,LK_ACCEPTED,-0.004382993816989256,-0.008975429978022476,0.009988442225399843,-1.7292891726555562e-05,1.0000211075814494,1.0000211075814038,3.0182426846513645e-07,-0.01803672156432679,-3.01824268465138e-07,1.0000211075814038,-0.01891390152006817
27,1.0940032414910859,TRACKED,LK_OPTICAL_FLOW,258,258,1.0,LK_ACCEPTED,-0.004364056188592258,-0.009029236408764518,0.010028564031931449,-8.276824925941199e-06,1.000021103275835,1.0000211032758246,1.4446089510259036e-07,-0.017939493945913976,-1.4446089510259192e-07,1.0000211032758246,-0.019066353831772187
28,1.1345218800648298,TRACKED,LK_OPTICAL_FLOW,258,258,1.0,LK_ACCEPTED,-0.005613983245666532,-0.010567075994117658,0.011965780498909473,0.00010107719046305403,1.0000251636425657,1.0000251636410096,-1.7641741641758193e-06,-0.020871909893005497,1.7641741641758179e-06,1.0000251636410096,-0.02377469514380154
29,1.1750405186385737,TRACKED,LK_OPTICAL_FLOW,257,257,1.0,LK_ACCEPTED,-0.005611346840055376,-0.01064034184622642,0.012029301225090197,9.944757326100983e-05,1.0000250082794002,1.0000250082778939,-1.735730993082141e-06,-0.020783493815414143,1.7357309930821394e-06,1.0000250082778939,-0.02375518307082941
30,1.2155591572123177,TRACKED,LK_OPTICAL_FLOW,256,256,1.0,LK_ACCEPTED,-0.00559967966989916,-0.01031092692898028,0.011733355297622785,7.888129654232289e-05,1.0000250731000917,1.000025073099144,-1.3767728620033916e-06,-0.020985612148203808,1.37677286200339e-06,1.000025073099144,-0.023227149149830352
31,1.2560777957860616,TRACKED,LK_OPTICAL_FLOW,259,259,1.0,LK_ACCEPTED,-0.005566642876942751,-0.010335797505035771,0.011739515449307144,8.37925096222841e-05,1.000025052243793,1.0000250522427236,-1.4624918192011094e-06,-0.020898082146926688,1.4624918192011077e-06,1.0000250522427236,-0.023296868776713088
32,1.2965964343598055,TRACKED,LK_OPTICAL_FLOW,259,259,1.0,LK_ACCEPTED,-0.005397936684062188,-0.010337145783523738,0.011661659547207116,8.491826377650429e-05,1.0000258039073886,1.0000258039062904,-1.4821415420327345e-06,-0.021201008769666248,1.4821415420327328e-06,1.0000258039062901,-0.023671591389704403
33,1.3371150729335495,TRACKED,LK_OPTICAL_FLOW,260,260,1.0,LK_ACCEPTED,-0.00535883006352833,-0.010411503151999568,0.011709673673244356,8.867961643105243e-05,1.0000257937925492,1.0000257937913515,-1.5477912085025039e-06,-0.021123916748366136,1.5477912085025022e-06,1.000025793791351,-0.02378310937390945
34,1.3776337115072934,TRACKED,LK_OPTICAL_FLOW,260,260,1.0,LK_ACCEPTED,-0.005342505543808329,-0.010453581919364296,0.011739665260580595,9.444034654669813e-05,1.0000258494832186,1.0000258494818601,-1.64833760153738e-06,-0.021094971885553072,1.6483376015373785e-06,1.0000258494818597,-0.02391626927700088
35,1.4181523500810373,TRACKED,LK_OPTICAL_FLOW,260,260,1.0,LK_ACCEPTED,-0.005323328940903593,-0.010444091595388727,0.011722494626398053,9.548234626205027e-05,1.0000258153984072,1.0000258153970185,-1.6665243406805165e-06,-0.021045251349304656,1.666524340680515e-06,1.000025815397018,-0.02390205774208725
36,1.4586709886547813,TRACKED,LK_OPTICAL_FLOW,260,260,1.0,LK_ACCEPTED,-0.004770980854118534,-0.01104264761909235,0.01202922793656399,1.3181372742550682e-05,1.0000248564398884,1.000024856439862,-2.300640727217985e-07,-0.0205686716108641,2.3006407272179646e-07,1.0000248564398615,-0.023120979759134207
