frame,timestamp_seconds,state,view_id,view_name,motion_translation_pixels,motion_rotation_deg,motion_scale,motion_inliers,motion_inlier_ratio,edge_change_ratio,moving_evidence,stable_evidence,event
0,0.0,STABLE,1,VIEW_001,0.0,0.0,1.0,0,1.0,0.0,0,1,INITIAL_VIEW
1,0.04113195129976966,STABLE,1,VIEW_001,0.006455181792290725,-0.0013946914343648292,1.0000113966661373,219,0.9954545454545455,0.01142339301377209,0,1,
2,0.08226390259953932,STABLE,1,VIEW_001,0.0016739212176523136,-0.0009428153199736135,0.9999984542348562,224,1.0,0.005598215880161634,0,1,
3,0.12339585389930897,STABLE,1,VIEW_001,0.012863942876663308,0.0015381455650748924,0.9999871473424944,223,1.0,0.0029896359287802285,0,1,
4,0.16452780519907864,STABLE,1,VIEW_001,0.0021544891752003402,0.0007995951222083934,0.9999997000125056,224,1.0,0.002860796704893665,0,1,
5,0.2056597564988483,STABLE,1,VIEW_001,0.014319469705900329,-0.000588670673875686,1.0000169377749977,221,0.9778761061946902,0.00423091934265049,0,1,
6,0.24679170779861795,STABLE,1,VIEW_001,0.006023432805164459,-0.0013599926495168942,0.9999911218635953,227,1.0,0.00397337795252706,0,1,
7,0.28792365909838763,STABLE,1,VIEW_001,0.04661725637598254,0.0056775780323464935,0.9999591562400704,227,1.0,0.0037589456676593606,0,1,
8,0.3290556103981573,STABLE,1,VIEW_001,0.0031129706835659157,-0.0013858944479895028,0.9999999235795569,227,1.0,0.0035375742703753067,0,1,
9,0.37018756169792694,STABLE,1,VIEW_001,0.005996418789784295,-0.0024333314362275137,1.0000106364155514,228,1.0,0.0043388361124028435,0,1,
10,0.4113195129976966,STABLE,1,VIEW_001,0.010882343568168421,-0.0021953385661873537,0.9999963218762032,227,1.0,0.0035873843649831426,0,1,
11,0.45245146429746624,STABLE,1,VIEW_001,0.003732079634011842,-0.0022481162576036594,0.9999886244917736,233,1.0,0.0032551110225366615,0,1,
12,0.4935834155972359,STABLE,1,VIEW_001,0.0036468896821349964,-0.0015241028004256323,1.0000076288499438,228,1.0,0.01159921231710053,0,1,
13,0.5347153668970056,STABLE,1,VIEW_001,0.004375168059857468,-0.0003444098879063586,1.0000132923820289,224,1.0,0.00433391035779668,0,1,
14,0.5758473181967753,STABLE,1,VIEW_001,0.01253038769968071,0.0014889268920183552,0.9999701010957257,220,0.995475113122172,0.004358763605569254,0,1,
15,0.6169792694965449,STABLE,1,VIEW_001,0.0136650054511759,-0.0029125602005703054,1.0000473674301398,219,0.9909502262443439,0.004342158791833753,0,1,
16,0.6581112207963146,STABLE,1,VIEW_001,0.008656490237192137,-0.0012094705304291212,1.0000069831454694,221,0.9954954954954955,0.00533032222711158,0,1,
17,0.6992431720960842,STABLE,1,VIEW_001,0.003105311437240659,-0.0015438911754353543,0.9999989764552398,215,0.9641255605381166,0.0045498700630173606,0,1,
18,0.7403751233958539,STABLE,1,VIEW_001,0.0014004856030367797,0.0010041169676949038,0.9999822688014117,213,0.9726027397260274,0.003063867946461191,0,1,
19,0.7815070746956235,STABLE,1,VIEW_001,0.0003031702228464995,0.0004879349843609252,0.9999864639839179,212,0.9464285714285714,0.004341528002025493,0,1,
20,0.8226390259953932,STABLE,1,VIEW_001,0.005425762950204801,0.0010950212843815377,0.9999724813563969,211,0.9504504504504504,0.0043580761376654,0,1,
21,0.8637709772951628,STABLE,1,VIEW_001,0.006169415566327295,-0.0010399060891210592,1.0000275918245325,211,0.9678899082568807,0.0022661995915860076,0,1,
22,0.9049029285949325,STABLE,1,VIEW_001,0.00833283448055759,-0.0006094318923766339,1.0000141518728727,219,0.9647577092511013,0.0031794126802946977,0,1,
23,0.9460348798947021,STABLE,1,VIEW_001,0.013127206205524744,-0.003150488591759784,0.9999607532283843,218,0.9775784753363229,0.003291439766237216,0,1,
24,0.9871668311944718,STABLE,1,VIEW_001,0.023082340108936044,-0.0015424066535163405,1.0000005940730872,220,0.9821428571428571,0.00704479693798337,0,1,
25,1.0282987824942416,STABLE,1,VIEW_001,0.009971539214297203,-0.005303169453813537,1.0000444784682787,217,0.96875,0.004519834978293171,0,1,
26,1.0694307337940112,STABLE,1,VIEW_001,0.004308007594230281,-0.001391909733694772,1.0000048767450516,215,0.9728506787330317,0.004112869421583641,0,1,
27,1.1105626850937809,STABLE,1,VIEW_001,0.001238025564393066,-0.0013833770421021485,0.9999987942401906,220,0.9865470852017937,0.0027888793436173257,0,1,
28,1.1516946363935505,STABLE,1,VIEW_001,0.004949995567539294,-0.0006695501174465296,1.0000114036718382,219,1.0,0.004440442052231219,0,1,
29,1.1928265876933202,STABLE,1,VIEW_001,0.0018441027802768063,0.0009234115875607687,1.0000150044404719,220,0.995475113122172,0.0044821275165278455,0,1,
30,1.2339585389930898,STABLE,1,VIEW_001,0.005002013472103609,-0.0003266091528822062,1.0000032425793204,221,1.0,0.0021953486827907902,0,1,
31,1.2750904902928595,STABLE,1,VIEW_001,0.013010343581870936,-0.000846274874991841,1.0000097862099004,221,1.0,0.003618797828721303,0,1,
32,1.3162224415926291,STABLE,1,VIEW_001,0.01682492056420033,-0.00027916274549414564,1.0000213808013398,221,1.0,0.0038968638338666103,0,1,
33,1.3573543928923988,STABLE,1,VIEW_001,0.01667798269505207,0.0003493591231783675,0.9999980442894552,226,1.0,0.0034777267784961946,0,1,
