image_id,filename,source_group,source_video,source_frame,timestamp_seconds,augmentation,dx_pixels,dy_pixels,rotation_deg,scale,instance_count
1,95_fur_incin_AB_Stacks_Thermal__frame_000000__original.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000000,95.fur incin AB Stacks Thermal.mp4,0,0.0,original,0.0,0.0,0.0,1.0,2
2,95_fur_incin_AB_Stacks_Thermal__frame_000000__aug_01.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000000,95.fur incin AB Stacks Thermal.mp4,0,0.0,aug_01,9.75987589205186,-23.749462238866652,-1.1248534081544037,0.9833926442889294,2
3,95_fur_incin_AB_Stacks_Thermal__frame_000000__aug_02.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000000,95.fur incin AB Stacks Thermal.mp4,0,0.0,aug_02,-5.4654726220310685,-23.510139028096482,-1.4068101259819832,1.0003213172862018,2
4,95_fur_incin_AB_Stacks_Thermal__frame_000122__original.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000122,95.fur incin AB Stacks Thermal.mp4,122,5.018113207547169,original,0.0,0.0,0.0,1.0,2
5,95_fur_incin_AB_Stacks_Thermal__frame_000122__aug_01.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000122,95.fur incin AB Stacks Thermal.mp4,122,5.018113207547169,aug_01,-33.14248212212954,-15.058117465667575,0.7494221888976158,1.0026964888361931,2
6,95_fur_incin_AB_Stacks_Thermal__frame_000122__aug_02.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000122,95.fur incin AB Stacks Thermal.mp4,122,5.018113207547169,aug_02,-19.56915645715123,4.463284193795435,1.5471522833891331,0.9703899255806836,2
7,95_fur_incin_AB_Stacks_Thermal__frame_000244__original.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000244,95.fur incin AB Stacks Thermal.mp4,244,10.036226415094339,original,0.0,0.0,0.0,1.0,2
8,95_fur_incin_AB_Stacks_Thermal__frame_000244__aug_01.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000244,95.fur incin AB Stacks Thermal.mp4,244,10.036226415094339,aug_01,32.00491505447468,-8.170272744368663,-2.0362707830992606,0.9758029826100079,2
9,95_fur_incin_AB_Stacks_Thermal__frame_000244__aug_02.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000244,95.fur incin AB Stacks Thermal.mp4,244,10.036226415094339,aug_02,14.320028535044642,-22.70878081721689,-1.3605086217422657,0.9873632778161264,2
10,95_fur_incin_AB_Stacks_Thermal__frame_000366__original.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000366,95.fur incin AB Stacks Thermal.mp4,366,15.054339622641509,original,0.0,0.0,0.0,1.0,2
11,95_fur_incin_AB_Stacks_Thermal__frame_000366__aug_01.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000366,95.fur incin AB Stacks Thermal.mp4,366,15.054339622641509,aug_01,-29.414561615346074,-13.36045568194849,-1.9949928529513543,0.9866784161866056,2
12,95_fur_incin_AB_Stacks_Thermal__frame_000366__aug_02.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000366,95.fur incin AB Stacks Thermal.mp4,366,15.054339622641509,aug_02,9.497911098508013,-6.758391051495789,-0.6490951644155869,0.9825704218462893,2
13,95_fur_incin_AB_Stacks_Thermal__frame_000488__original.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000488,95.fur incin AB Stacks Thermal.mp4,488,20.072452830188677,original,0.0,0.0,0.0,1.0,2
14,95_fur_incin_AB_Stacks_Thermal__frame_000488__aug_01.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000488,95.fur incin AB Stacks Thermal.mp4,488,20.072452830188677,aug_01,26.34573385308682,-9.266105960076104,0.7771933264744,0.9937379140636399,2
15,95_fur_incin_AB_Stacks_Thermal__frame_000488__aug_02.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000488,95.fur incin AB Stacks Thermal.mp4,488,20.072452830188677,aug_02,29.018331281838044,-2.0574073706300595,-1.1755991675097377,0.984797650461639,2
16,95_fur_incin_AB_Stacks_Thermal__frame_000610__original.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000610,95.fur incin AB Stacks Thermal.mp4,610,25.090566037735847,original,0.0,0.0,0.0,1.0,2
17,95_fur_incin_AB_Stacks_Thermal__frame_000610__aug_01.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000610,95.fur incin AB Stacks Thermal.mp4,610,25.090566037735847,aug_01,-7.041964640172193,-14.033962042135833,2.4876880324755515,1.000571577620588,2
18,95_fur_incin_AB_Stacks_Thermal__frame_000610__aug_02.jpg,95_fur_incin_AB_Stacks_Thermal__frame_000610,95.fur incin AB Stacks Thermal.mp4,610,25.090566037735847,aug_02,-28.63634114783443,-22.644181228763273,-1.9517543482467041,1.0076467625021854,2
