frame,timestamp_seconds,was_ocr_sampled,primary_min_temp,primary_max_temp,primary_min_text,primary_max_text,accepted_sample_min_temp,accepted_sample_max_temp,accepted_min_text,accepted_max_text,accepted_min_method,accepted_max_method,clean_min_temp_used,clean_max_temp_used,status,retry_attempted
0,0.0,1,15.6,46.9,15.6,46.9,15.6,46.9,15.6,46.9,green_difference/PSM7,green_difference/PSM7,15.6,46.9,ACCEPT_PRIMARY,0
1,0.04113207547169811,0,,,,,,,,,,,15.6,46.9,UNSAMPLED,0
2,0.08226415094339622,0,,,,,,,,,,,15.6,46.9,UNSAMPLED,0
3,0.12339622641509433,0,,,,,,,,,,,15.6,46.9,UNSAMPLED,0
4,0.16452830188679243,0,,,,,,,,,,,15.6,46.9,UNSAMPLED,0
5,0.20566037735849055,0,,,,,,,,,,,15.6,46.9,UNSAMPLED,0
6,0.24679245283018866,0,,,,,,,,,,,15.6,46.9,UNSAMPLED,0
7,0.28792452830188675,0,,,,,,,,,,,15.6,46.9,UNSAMPLED,0
8,0.32905660377358487,1,,46.8,17,468,15.7,46.8,15.7,46.8,green_channel_otsu/PSM7,hsv_green/PSM7,15.7,46.8,ACCEPT_RETRY,1
9,0.370188679245283,0,,,,,,,,,,,15.7,46.8,UNSAMPLED,0
10,0.4113207547169811,0,,,,,,,,,,,15.7,46.8,UNSAMPLED,0
11,0.4524528301886792,0,,,,,,,,,,,15.7,46.8,UNSAMPLED,0
12,0.4935849056603773,0,,,,,,,,,,,15.7,46.8,UNSAMPLED,0
13,0.5347169811320754,0,,,,,,,,,,,15.7,46.8,UNSAMPLED,0
14,0.5758490566037735,0,,,,,,,,,,,15.7,46.8,UNSAMPLED,0
15,0.6169811320754717,0,,,,,,,,,,,15.7,46.8,UNSAMPLED,0
16,0.6581132075471697,1,15.7,45.9,157,459,15.7,45.9,157,459,green_difference/PSM7,green_difference/PSM7,15.7,45.9,ACCEPT_PRIMARY,0
17,0.6992452830188679,0,,,,,,,,,,,15.7,45.9,UNSAMPLED,0
18,0.740377358490566,0,,,,,,,,,,,15.7,45.9,UNSAMPLED,0
19,0.7815094339622641,0,,,,,,,,,,,15.7,45.9,UNSAMPLED,0
20,0.8226415094339622,0,,,,,,,,,,,15.7,45.9,UNSAMPLED,0
21,0.8637735849056604,0,,,,,,,,,,,15.7,45.9,UNSAMPLED,0
22,0.9049056603773584,0,,,,,,,,,,,15.7,45.9,UNSAMPLED,0
23,0.9460377358490566,0,,,,,,,,,,,15.7,45.9,UNSAMPLED,0
24,0.9871698113207547,1,15.8,472.0,15.8,4720,15.6,47.2,15.6,47.2,green_channel_otsu/PSM7,gray_otsu/PSM7,15.6,47.2,ACCEPT_RETRY,1
25,1.0283018867924527,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
26,1.0694339622641509,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
27,1.110566037735849,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
28,1.151698113207547,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
29,1.1928301886792452,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
30,1.2339622641509433,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
31,1.2750943396226415,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
32,1.3162264150943395,1,159.5,472.0,159.5,4720,15.6,47.2,15.6,47.2,green_channel_otsu/PSM7,gray_otsu/PSM7,15.6,47.2,ACCEPT_RETRY,1
33,1.3573584905660376,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
34,1.3984905660377358,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
35,1.439622641509434,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
36,1.480754716981132,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
37,1.52188679245283,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
38,1.5630188679245283,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
39,1.6041509433962264,0,,,,,,,,,,,15.6,47.2,UNSAMPLED,0
40,1.6452830188679244,1,,471.0,7,4710,15.7,47.17,15.7,47.17,green_channel_otsu/PSM7,gray_otsu/PSM7,15.7,47.17,ACCEPT_RETRY,1
41,1.6864150943396226,0,,,,,,,,,,,15.7,47.17,UNSAMPLED,0
42,1.7275471698113207,0,,,,,,,,,,,15.7,47.17,UNSAMPLED,0
43,1.7686792452830187,0,,,,,,,,,,,15.7,47.17,UNSAMPLED,0
44,1.8098113207547168,0,,,,,,,,,,,15.7,47.17,UNSAMPLED,0
45,1.850943396226415,0,,,,,,,,,,,15.7,47.17,UNSAMPLED,0
46,1.8920754716981132,0,,,,,,,,,,,15.7,47.17,UNSAMPLED,0
47,1.9332075471698111,0,,,,,,,,,,,15.7,47.17,UNSAMPLED,0
48,1.9743396226415093,1,,471.0,7,4710,15.7,47.1,15.7,471,green_channel_otsu/PSM7,green_difference/PSM8,15.7,47.1,ACCEPT_RETRY,1
49,2.0154716981132075,0,,,,,,,,,,,15.7,47.1,UNSAMPLED,0
50,2.0566037735849054,0,,,,,,,,,,,15.7,47.1,UNSAMPLED,0
51,2.097735849056604,0,,,,,,,,,,,15.7,47.1,UNSAMPLED,0
52,2.1388679245283018,0,,,,,,,,,,,15.7,47.1,UNSAMPLED,0
53,2.1799999999999997,0,,,,,,,,,,,15.7,47.1,UNSAMPLED,0
54,2.221132075471698,0,,,,,,,,,,,15.7,47.1,UNSAMPLED,0
55,2.262264150943396,0,,,,,,,,,,,15.7,47.1,UNSAMPLED,0
56,2.303396226415094,1,154.5,45.7,1545,457,15.5,46.7,15.5,46.7,green_channel_otsu/PSM7,green_channel_otsu/PSM7,15.5,46.7,ACCEPT_RETRY,1
57,2.3445283018867924,0,,,,,,,,,,,15.5,46.7,UNSAMPLED,0
58,2.3856603773584903,0,,,,,,,,,,,15.5,46.7,UNSAMPLED,0
59,2.4267924528301887,0,,,,,,,,,,,15.5,46.7,UNSAMPLED,0
60,2.4679245283018867,0,,,,,,,,,,,15.5,46.7,UNSAMPLED,0
61,2.5090566037735846,0,,,,,,,,,,,15.5,46.7,UNSAMPLED,0
62,2.550188679245283,0,,,,,,,,,,,15.5,46.7,UNSAMPLED,0
63,2.591320754716981,0,,,,,,,,,,,15.5,46.7,UNSAMPLED,0
64,2.632452830188679,1,15.5,45.7,155,457,15.5,45.7,155,457,green_difference/PSM7,green_difference/PSM7,15.5,45.7,ACCEPT_PRIMARY,0
65,2.6735849056603773,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
66,2.7147169811320753,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
67,2.7558490566037737,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
68,2.7969811320754716,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
69,2.8381132075471696,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
70,2.879245283018868,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
71,2.920377358490566,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
72,2.961509433962264,1,15.5,46.4,155,46.4,15.5,46.4,155,46.4,green_difference/PSM7,green_difference/PSM7,15.5,46.4,ACCEPT_PRIMARY,0
73,3.0026415094339622,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
74,3.04377358490566,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
75,3.084905660377358,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
76,3.1260377358490565,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
77,3.1671698113207545,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
78,3.208301886792453,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
79,3.249433962264151,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
80,3.2905660377358488,1,19.5,46.4,19.5,46.4,15.5,46.4,15.5,46.40,green_channel_otsu/PSM7,hsv_green/PSM7,15.5,46.4,ACCEPT_RETRY,1
81,3.331698113207547,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
82,3.372830188679245,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
83,3.413962264150943,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
84,3.4550943396226415,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
85,3.4962264150943394,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
86,3.5373584905660374,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
87,3.5784905660377357,0,,,,,,,,,,,15.5,46.4,UNSAMPLED,0
88,3.6196226415094337,1,15.8,45.7,158,457,15.8,45.7,158,457,green_difference/PSM7,green_difference/PSM7,15.8,45.7,ACCEPT_PRIMARY,0
89,3.660754716981132,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
90,3.70188679245283,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
91,3.743018867924528,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
92,3.7841509433962264,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
93,3.8252830188679243,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
94,3.8664150943396223,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
95,3.9075471698113207,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
96,3.9486792452830186,1,15.8,45.7,158,457,15.8,45.7,158,457,green_difference/PSM7,green_difference/PSM7,15.8,45.7,ACCEPT_PRIMARY,0
97,3.9898113207547166,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
98,4.030943396226415,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
99,4.072075471698113,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
100,4.113207547169811,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
101,4.154339622641509,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
102,4.195471698113208,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
103,4.236603773584905,0,,,,,,,,,,,15.8,45.7,UNSAMPLED,0
104,4.2777358490566035,1,15.5,465.6,15.5,465.6,15.5,46.6,15.5,46.6,green_difference/PSM7,hsv_green/PSM7,15.5,46.6,ACCEPT_RETRY,1
105,4.318867924528302,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
106,4.359999999999999,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
107,4.401132075471698,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
108,4.442264150943396,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
109,4.483396226415094,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
110,4.524528301886792,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
111,4.5656603773584905,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
112,4.606792452830188,1,15.5,45.7,15.5,457,15.5,45.7,15.5,457,green_difference/PSM7,green_difference/PSM7,15.5,45.7,ACCEPT_PRIMARY,0
113,4.647924528301886,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
114,4.689056603773585,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
115,4.730188679245283,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
116,4.771320754716981,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
117,4.812452830188679,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
118,4.8535849056603775,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
119,4.894716981132075,0,,,,,,,,,,,15.5,45.7,UNSAMPLED,0
120,4.935849056603773,1,15.5,465.6,15.5,465.6,15.5,46.6,15.5,46.6,green_difference/PSM7,hsv_green/PSM7,15.5,46.6,ACCEPT_RETRY,1
121,4.976981132075472,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
122,5.018113207547169,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
123,5.059245283018868,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
124,5.100377358490566,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
125,5.141509433962264,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
126,5.182641509433962,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
127,5.22377358490566,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
128,5.264905660377358,1,15.5,465.6,15.5,465.6,15.5,46.6,15.5,46.6,green_difference/PSM7,hsv_green/PSM7,15.5,46.6,ACCEPT_RETRY,1
129,5.306037735849056,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
130,5.347169811320755,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
131,5.388301886792452,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
132,5.4294339622641505,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
133,5.470566037735849,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
134,5.511698113207547,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
135,5.552830188679245,0,,,,,,,,,,,15.5,46.6,UNSAMPLED,0
136,5.593962264150943,1,16.5,454.0,16.5,4540,15.5,45.4,15.5,45.40,green_channel_otsu/PSM7,hsv_green/PSM7,15.5,45.4,ACCEPT_RETRY,1
137,5.635094339622642,0,,,,,,,,,,,15.5,45.4,UNSAMPLED,0
138,5.676226415094339,0,,,,,,,,,,,15.5,45.4,UNSAMPLED,0
139,5.7173584905660375,0,,,,,,,,,,,15.5,45.4,UNSAMPLED,0
140,5.758490566037736,0,,,,,,,,,,,15.5,45.4,UNSAMPLED,0
141,5.799622641509433,0,,,,,,,,,,,15.5,45.4,UNSAMPLED,0
142,5.840754716981132,0,,,,,,,,,,,15.5,45.4,UNSAMPLED,0
143,5.88188679245283,0,,,,,,,,,,,15.5,45.4,UNSAMPLED,0
144,5.923018867924528,1,15.9,45.6,15.9,45.6,15.9,45.6,15.9,45.6,green_difference/PSM7,green_difference/PSM7,15.9,45.6,ACCEPT_PRIMARY,0
145,5.964150943396226,0,,,,,,,,,,,15.9,45.6,UNSAMPLED,0
146,6.0052830188679245,0,,,,,,,,,,,15.9,45.6,UNSAMPLED,0
147,6.046415094339622,0,,,,,,,,,,,15.9,45.6,UNSAMPLED,0
148,6.08754716981132,0,,,,,,,,,,,15.9,45.6,UNSAMPLED,0
149,6.128679245283019,0,,,,,,,,,,,15.9,45.6,UNSAMPLED,0
150,6.169811320754716,0,,,,,,,,,,,15.9,45.6,UNSAMPLED,0
151,6.210943396226415,0,,,,,,,,,,,15.9,45.6,UNSAMPLED,0
152,6.252075471698113,1,15.9,46.0,15.9,46.0,15.9,46.0,15.9,46.0,green_difference/PSM7,green_difference/PSM7,15.9,46.0,ACCEPT_PRIMARY,0
153,6.293207547169811,0,,,,,,,,,,,15.9,46.0,UNSAMPLED,0
154,6.334339622641509,0,,,,,,,,,,,15.9,46.0,UNSAMPLED,0
155,6.375471698113207,0,,,,,,,,,,,15.9,46.0,UNSAMPLED,0
156,6.416603773584906,0,,,,,,,,,,,15.9,46.0,UNSAMPLED,0
157,6.457735849056603,0,,,,,,,,,,,15.9,46.0,UNSAMPLED,0
158,6.498867924528302,0,,,,,,,,,,,15.9,46.0,UNSAMPLED,0
159,6.54,0,,,,,,,,,,,15.9,46.0,UNSAMPLED,0
