frame,timestamp_seconds,was_ocr_sampled,primary_min_temp,primary_max_temp,primary_min_text,primary_max_text,accepted_sample_min_temp,accepted_sample_max_temp,accepted_min_text,accepted_max_text,accepted_min_method,accepted_max_method,clean_min_temp_used,clean_max_temp_used,status,retry_attempted
0,0.0,1,29.2,74.9,29.20,74.90,29.2,74.9,29.20,74.90,green_difference/PSM7,gray_otsu/PSM7,29.2,74.9,ACCEPT_PRIMARY,0
1,0.040519289650949177,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
2,0.08103857930189835,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
3,0.12155786895284752,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
4,0.1620771586037967,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
5,0.20259644825474588,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
6,0.24311573790569505,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
7,0.2836350275566442,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
8,0.3241543172075934,1,29.2,747.0,29.20,7470,,,,,,,29.2,74.9,HOLD_PREVIOUS,1
9,0.36467360685854255,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
10,0.40519289650949175,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
11,0.44571218616044095,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
12,0.4862314758113901,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
13,0.5267507654623392,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
14,0.5672700551132884,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
15,0.6077893447642376,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
16,0.6483086344151868,1,29.2,747.0,29.20,7470,,,,,,,29.2,74.9,HOLD_PREVIOUS,1
17,0.688827924066136,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
18,0.7293472137170851,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
19,0.7698665033680343,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
